CEO,companyName,description,exchange,industry,issueType,sector,symbol,tags,website
Thomas R. Greco,Advance Auto Parts Inc W/I,"Advance Auto Parts Inc is an automotive aftermarket parts provider serving professional installers, DIY (do-it-yourself) customer and independently-owned operators.",New York Stock Exchange,Retail - Apparel & Specialty,cs,Consumer Cyclical,AAP,"['Consumer Cyclical', 'Specialty Retail', 'Retail - Apparel & Specialty']",https://shop.advanceautoparts.com
Timothy D. Cook,Apple Inc.,"Apple Inc is designs, manufactures and markets mobile communication and media devices and personal computers, and sells a variety of related software, services, accessories, networking solutions and third-party digital content and applications.",Nasdaq Global Select,Computer Hardware,cs,Technology,AAPL,"['Technology', 'Consumer Electronics', 'Computer Hardware']",http://www.apple.com
Ernest Rady,American Assets Trust Inc.,"American Assets Trust Inc is a self-administered real estate investment trust based in the United States. The company mainly invests in, operates, and develops retail, office, residential, and mixed-use properties in California, Oregon, and Hawaii.",New York Stock Exchange,REITs,cs,Real Estate,AAT,"['Real Estate', 'REIT - Retail', 'REITs']",http://www.americanassetstrust.com
Morgan Poliquin,Almaden Minerals Ltd.,Almaden Minerals Ltd is a mineral exploration company. It is engaged in the business of exploring and developing mineral projects and its principal asset is the Ixtaca precious metals project located on its Tuligtic claim in Mexico.,NYSE American,Metals & Mining,cs,Basic Materials,AAU,"['Basic Materials', 'Gold', 'Metals & Mining']",http://www.almadenminerals.com
William J. Flynn,Atlas Air Worldwide Holdings,"Atlas Air Worldwide Holdings Inc is engaged in providing outsourced aircraft and aviation operating services. It operates a fleet of approximately 747 freighters and offers aircraft for domestic, regional & international cargo & passenger applications.",Nasdaq Global Select,Transportation & Logistics,cs,Industrials,AAWW,"['Industrials', 'Airports & Air Services', 'Transportation & Logistics']",http://www.atlasair.com
Patrick W. Smith,Axon Enterprise Inc.,"Axon Enterprise Inc offers a network of devices, apps, and people that helps law enforcement become smarter and safer. Its products include the connected body cameras and evidence-management cloud, and TASER Smart Weapons.",Nasdaq Global Select,Aerospace & Defense,cs,Industrials,AAXN,"['Industrials', 'Aerospace & Defense']",https://www.axon.com
Seth Bernstein,AllianceBernstein Holding L.P. Units,AllianceBernstein Holding LP is engaged in the financial service sector. Its activities include investment management services and its sell-side business.,New York Stock Exchange,Asset Management,cs,Financial Services,AB,"['Financial Services', 'Asset Management']",http://www.alliancecapital.com
Luchang Zhou,Renmin Tianli Group Inc.,"Renmin Tianli Group Inc is engaged in breeding, raising and selling breeder and market hogs in China. The company also sells specialty processed black hog pork products through supermarkets and other retail outlets, as well as the internet.",NASDAQ Capital Market,Consumer Packaged Goods,cs,Consumer Defensive,ABAC,"['Consumer Defensive', 'Farm Products', 'Consumer Packaged Goods']",http://www.renmintianli-china.com
Ulrich Spiesshofer,ABB Ltd,"ABB Ltd is a power and automation systems provider that are designed to boost industrial productivity, increase power grid reliability and enhance energy efficiency. The company works closely with utility, industry, transport and infrastructure customers.",New York Stock Exchange,Industrial Products,cs,Industrials,ABB,"['Industrials', 'Diversified Industrials', 'Industrial Products']",http://www.abb.com
Richard A. Gonzalez,AbbVie Inc.,"AbbVie Inc is a biopharmaceutical company that discovers, develops, manufactures and sells a range of pharmaceutical products for treating chronic autoimmune diseases, virology and neurological disorders.",New York Stock Exchange,Drug Manufacturers,cs,Healthcare,ABBV,"['Healthcare', 'Drug Manufacturers - Major', 'Drug Manufacturers']",http://www.abbvie.com
Steven H. Collis,AmerisourceBergen Corporation,"AmerisourceBergen Corp is a pharmaceutical services company. It provides drug distribution and related healthcare services and solutions to pharmacy, physician, and manufacturer customers based in the United States and Canada.",New York Stock Exchange,Medical Distribution,cs,Healthcare,ABC,"['Healthcare', 'Medical Distribution']",http://www.amerisourcebergen.com
Dennis J. Zember,Ameris Bancorp,"Ameris Bancorp provides business through its wholly owned banking subsidiary, Ameris Bank. Services include commercial real estate loans, which accounts for the major source of its income.",Nasdaq Global Select,Banks,cs,Financial Services,ABCB,"['Financial Services', 'Banks - Regional - US', 'Banks']",https://www.amerisbank.com
Vijay Rajguru,Alcentra Capital Corp.,"Alcentra Capital Corp is a specialty finance company operating as a non-diversified, closed-end management investment company. It provides customized debt and equity financing solutions to lower middle-market companies.",Nasdaq Global Select,Asset Management,cs,Financial Services,ABDC,"['Financial Services', 'Asset Management']",http://www.alcentracapital.com
Joao Siffert,Abeona Therapeutics Inc.,Abeona Therapeutics Inc is a clinical-stage biopharmaceutical company. The firm is focused on developing gene therapies and plasma-based products for life-threatening rare genetic diseases.,NASDAQ Capital Market,Biotechnology,cs,Healthcare,ABEO,"['Healthcare', 'Biotechnology']",http://www.abeonatherapeutics.com
Bernardo Pinto Paiva,Ambev S.A. American Depositary Shares (Each representing 1),"Ambev SA produces, distributes and sells beer, CSDs and other non-alcoholic and non-carbonated products in countries across the Americas. The company operates in Latin America North, Latin America South and Canada.",New York Stock Exchange,Beverages - Alcoholic,cs,Consumer Defensive,ABEV,"['Consumer Defensive', 'Beverages - Brewers', 'Beverages - Alcoholic']",http://www.ambev.com.br
David W. Hult,Asbury Automotive Group Inc,"Asbury Automotive Group Inc is an US-based automotive retailer. The company owns and operates approximately 90 vehicle franchises. Its franchise brand name includes BMW, Honda, Mercedes-Benz, Ford, Jaguar, Land Rover, Porsche, Toyota, Volvo and others.",New York Stock Exchange,Autos,cs,Consumer Cyclical,ABG,"['Consumer Cyclical', 'Auto & Truck Dealerships', 'Autos']",http://www.asburyauto.com
Anatoly Hurgin,Ability Inc.,"Ability Inc is a holding company which provides advanced interception, geolocation and cyber intelligence products and solutions that serve the needs and increasing challenges of security and intelligence agencies.",NASDAQ Capital Market,Communication Equipment,cs,Technology,ABIL,"['Technology', 'Communication Equipment']",http://www.interceptors.com
Michael R. Bristow,ARCA biopharma Inc.,ARCA biopharma Inc is a biopharmaceutical company. The Company is engaged in developing genetically-targeted therapies for cardiovascular diseases. Its product candidate is Gencaro.,NASDAQ Capital Market,Biotechnology,cs,Healthcare,ABIO,"['Healthcare', 'Biotechnology']",http://www.arcabiopharma.com
Scott B. Salmirs,ABM Industries Incorporated,"ABM Industries Inc is engaged in providing end-to-end integrated facility solutions. The services offered by the company includes Electrical, Energy, Facilities Engineering, Landscape and Turf and Parking and Transportation Services.",New York Stock Exchange,Business Services,cs,Industrials,ABM,"['Industrials', 'Business Services']",http://www.abm.com
Michael R. Minogue,ABIOMED Inc.,Abiomed Inc is a medical device company. It provides mechanical circulatory support devices to aid heart recovery to heart failure patients.,Nasdaq Global Select,Medical Devices,cs,Healthcare,ABMD,"['Healthcare', 'Medical Devices']",http://www.abiomed.com
Ivan Kaufman,Arbor Realty Trust,Arbor Realty Trust Inc is a real estate specialty finance firm. It invests in a diversified portfolio of structured finance assets in the multi-family and commercial real estate markets. It also invests in real estate-related bridge and mezzanine loans.,New York Stock Exchange,REITs,cs,Real Estate,ABR,"['Real Estate', 'REIT - Diversified', 'REITs']",https://www.arbor.com
Miles D. White,Abbott Laboratories,"Abbott Laboratories is a health care company that manufactures medical devices, blood glucose monitoring kits, nutritional healthcare products, diagnostic products and equipment, and branded generic drugs.",New York Stock Exchange,Medical Devices,cs,Healthcare,ABT,"['Healthcare', 'Medical Devices']",http://www.abbott.com
George Martinez,Allegiance Bancshares Inc.,Allegiance Bancshares Inc is a bank holding company. The company through its subsidiary provides diversified commercial banking services to Houston metropolitan area-based small to medium-sized businesses and individual customers.,NASDAQ Global Market,Banks,cs,Financial Services,ABTX,"['Financial Services', 'Banks - Regional - US', 'Banks']",https://www.allegiancebank.com
Mark Murray,Arbutus Biopharma Corporation,"Arbutus Biopharma Corp is a biopharmaceutical business engaged in advancing novel RNA interference therapeutics and discovering, developing and commercializing a cure for patients suffering from chronic hepatitis B infection.",Nasdaq Global Select,Biotechnology,cs,Healthcare,ABUS,"['Healthcare', 'Biotechnology']",http://www.arbutusbio.com
Douglas R. Jamieson,Associated Capital Group Inc.,"Associated Capital Group Inc is a diversified global financial services company. It operates in the business of alternative investment management, institutional research services and cash and other assets through subsidiaries.",New York Stock Exchange,Brokers & Exchanges,cs,Financial Services,AC,"['Financial Services', 'Capital Markets', 'Brokers & Exchanges']",http://www.associated-capital-group.com
Antonio Carrillo,Arcosa Inc.,,New York Stock Exchange,Engineering & Construction,cs,Industrials,ACA,"['Industrials', 'Infrastructure Operations', 'Engineering & Construction']",
Stephen R. Davis,ACADIA Pharmaceuticals Inc.,"ACADIA Pharmaceuticals Inc is a biotechnology company which develops and commercializes biopharmaceutical products to address central nervous system disorders. It aims to discover small molecule drugs to address Parkinson's, Alzheimer's and schizophrenia.",Nasdaq Global Select,Biotechnology,cs,Healthcare,ACAD,"['Healthcare', 'Biotechnology']",http://www.acadia-pharm.com
Terry Booth,Aurora Cannabis Inc.,Aurora Cannabis Inc is a medical marijuana company. The Company is engaged in producing and distributing medical marijuana pursuant to the Marijuana for Medical Purposes Regulations.,New York Stock Exchange,Drug Manufacturers,cs,Healthcare,ACB,"['Healthcare', 'Drug Manufacturers - Specialty & Generic', 'Drug Manufacturers']",http://www.auroramj.com
Douglas L. Williams,Atlantic Capital Bancshares Inc.,"Atlantic Capital Bancshares Inc provides a range of credit, treasury management, and deposit products and services to emerging growth businesses, middle market corporations, commercial real estate developers and investors, and private clients.",Nasdaq Global Select,Banks,cs,Financial Services,ACBI,"['Financial Services', 'Banks - Regional - US', 'Banks']",http://www.atlanticcapitalbank.com
William C. Bayless,American Campus Communities Inc,"American Campus Communities Inc is a real estate investment trust that owns, manages and develops student housing properties in the United States in terms of beds owned, developed, and under management.",New York Stock Exchange,REITs,cs,Real Estate,ACC,"['Real Estate', 'REIT - Residential', 'REITs']",http://www.americancampus.com
Boris Elisman,Acco Brands Corporation,"ACCO Brands Corp is a manufacturer and marketer of office, school and calendar products and selected computer and electronic accessories. It sells its products to consumers and commercial end-users through resellers.",New York Stock Exchange,Industrial Products,cs,Industrials,ACCO,"['Industrials', 'Business Equipment', 'Industrial Products']",http://www.accobrands.com
Chris Schelling,Acer Therapeutics Inc.,"Acer Therapeutics Inc is a pharmaceutical company that acquires, develops and intends to commercialize therapies for patients with serious rare diseases with critical unmet medical need.",NASDAQ Capital Market,Biotechnology,cs,Healthcare,ACER,"['Healthcare', 'Biotechnology']",https://www.acertx.com
William C. Kennally,Aceto Corporation,"Aceto Corp is engaged in the marketing, sells and distribution of finished dosage form generic pharmaceuticals, nutraceutical products, pharmaceutical active ingredients and intermediates, and specialty performance chemicals.",Nasdaq Global Select,Drug Manufacturers,cs,Healthcare,ACET,"['Healthcare', 'Drug Manufacturers - Specialty & Generic', 'Drug Manufacturers']",http://www.aceto.com
Marc Grandisson,Arch Capital Group Ltd.,"Arch Capital Group Ltd provides insurance, reinsurance and mortgage. It provides property, casualty and mortgage insurance and reinsurance lines, and focus on writing specialty lines of insurance and reinsurance.",Nasdaq Global Select,Insurance,cs,Financial Services,ACGL,"['Financial Services', 'Insurance - Diversified', 'Insurance']",http://www.archcapgroup.bm
,Aluminum Corporation of China Limited American Depositary Shares,"Aluminum Corporation of China Ltd is one of the world's leading producer of aluminum. The company has operations across every phase of upstream aluminum production--bauxite mining, alumina refining and primary aluminum smelting.",New York Stock Exchange,Metals & Mining,cs,Basic Materials,ACH,"['Basic Materials', 'Aluminum', 'Metals & Mining']",http://www.chalco.com.cn
Debra K. Osteen,Acadia Healthcare Company Inc.,"Acadia Healthcare Co Inc operates mental healthcare facilities in the United States. It addresses behavioral abnormalities in psychiatric facilities, substance abuse facilities, and residential treatment centers.",Nasdaq Global Select,Health Care Providers,cs,Healthcare,ACHC,"['Healthcare', 'Medical Care', 'Health Care Providers']",http://www.acadiahealthcare.com
Joseph Truitt,Achillion Pharmaceuticals Inc.,Achillion Pharmaceuticals Inc is a biotechnology company. It is engaged in the discovery and development of innovative small-molecule drug therapies for infectious diseases and immune system disorders.,Nasdaq Global Select,Biotechnology,cs,Healthcare,ACHN,"['Healthcare', 'Biotechnology']",http://www.achillion.com
Richard Alistair Balfour Stewart,Achieve Life Sciences Inc.,Achieve Life Sciences Inc is a United States based clinical-stage biopharmaceutical company. It is focused on the development of novel next generation cancer therapeutics.,NASDAQ Capital Market,Biotechnology,cs,Healthcare,ACHV,"['Healthcare', 'Biotechnology']",http://www.achievelifesciences.com
Murugesan Shanmugaraj,Acacia Communications Inc.,Acacia Communications Inc provides optical interconnect products used in communication services industry. It offers sophisticated modules for digital signal processing (DSP) and optical functions required to process network traffic across the world.,Nasdaq Global Select,Communication Equipment,cs,Technology,ACIA,"['Technology', 'Communication Equipment']",http://www.acacia-inc.com
Andrea Pfeifer,AC Immune SA,"AC Immune SA is a clinical stage biopharmaceutical company. It discovers, designs and develops novel, proprietary medicines for treatment of neurodegenerative diseases with the help of proprietary platforms.",NASDAQ Global Market,Biotechnology,cs,Healthcare,ACIU,"['Healthcare', 'Biotechnology']",http://www.acimmune.com
Phillip G. Heasley,ACI Worldwide Inc.,"ACI Worldwide Inc together with its subsidiaries develops, markets, installs, and supports software products and services to facilitate electronic payments. It leverages its distribution network in the Americas, Europe, the Middle East, and Africa.",Nasdaq Global Select,Application Software,cs,Technology,ACIW,"['Technology', 'Software - Application', 'Application Software']",http://www.aciworldwide.com
Mary G. Puma,Axcelis Technologies Inc.,"Axcelis Technologies Inc produces ion implantation and other processing equipment used in the fabrication of semiconductor chips in the United States, Europe, and Asia. It also provides extensive aftermarket service and support.",Nasdaq Global Select,Semiconductors,cs,Technology,ACLS,"['Technology', 'Semiconductor Equipment & Materials', 'Semiconductors']",http://www.axcelis.com
Michael S. Burke,AECOM,"AECOM provides consulting and engineering services to clients in transportation, facilities, environmental, and other markets. It mainly designs, builds, and operates infrastructure projects for governments, businesses, and organizations.",New York Stock Exchange,Engineering & Construction,cs,Industrials,ACM,"['Industrials', 'Engineering & Construction']",http://www.aecom.com
David H. Wang,ACM Research Inc.,"ACM Research Inc develops, manufactures and sells single-wafer wet cleaning equipment which is used for semiconductor industry. Its product is designed to remove random defects from a wafer surface effectively, without damaging a wafer or its features.",NASDAQ Global Market,Semiconductors,cs,Technology,ACMR,"['Technology', 'Semiconductor Equipment & Materials', 'Semiconductors']",http://www.acmrcsh.com
Pierre Nanterme,Accenture plc Class A (Ireland),"Accenture PLC is a professional service company. It provides consulting, technology and outsourcing services to Communications, Media and Technology, Financial services, Health and Public service, Products and Resources segments.",New York Stock Exchange,Application Software,cs,Technology,ACN,"['Technology', 'Information Technology Services', 'Application Software']",http://www.accenture.com
James Helt,ACNB Corporation,"ACNB Corp provides banking, insurance, and financial services to businesses, and consumers through its wholly-owned subsidiaries, ACNB Bank and Russell Insurance Group Inc (RIG). The corporation has two reporting segments, the Bank and RIG.",NASDAQ Capital Market,Banks,cs,Financial Services,ACNB,"['Financial Services', 'Banks - Regional - US', 'Banks']",http://www.acnb.com
Ron Cohen,Acorda Therapeutics Inc.,"Acorda Therapeutics Inc is a biopharmaceutical company. It is engaged in the identification, development & commercialization of novel therapies for the treatment of neurological disorders.",Nasdaq Global Select,Biotechnology,cs,Healthcare,ACOR,"['Healthcare', 'Biotechnology']",http://www.acorda.com
Randolph Takian,Aberdeen Income Credit Strategies Fund,"Avenue Income Credit Strategies Fund is a non diversified, closed-end management investment company. Its investment objective is to seek a high level of current income with a secondary objective of capital appreciation.",New York Stock Exchange,Asset Management,cs,Financial Services,ACP,"['Financial Services', 'Asset Management']",http://www.aberdeenacp.com
James Alan Henderson,Ares Commercial Real Estate Corporation,Ares Commercial Real Estate Corp is a specialty finance company and a Real Estate Investment Trust providing commercial real estate loans and related investments. The company addresses the financing needs of the middle-market commercial real estate.,New York Stock Exchange,REITs,cs,Real Estate,ACRE,"['Real Estate', 'REIT - Diversified', 'REITs']",http://www.arescre.com
Neal Walker,Aclaris Therapeutics Inc.,"Aclaris Therapeutics Inc is a clinical-stage specialty pharmaceutical company which focuses on identifying, developing and commercializing differentiated drugs to address significant unmet needs in dermatology.",Nasdaq Global Select,Biotechnology,cs,Healthcare,ACRS,"['Healthcare', 'Biotechnology']",http://www.aclaristx.com
Vincent J. Angotti,AcelRx Pharmaceuticals Inc.,AcelRx Pharmaceuticals Inc is a specialty pharmaceutical company. It is engaged in the development and commercialization of therapies for the treatment of acute pain.,NASDAQ Global Market,Medical Devices,cs,Healthcare,ACRX,"['Healthcare', 'Medical Devices']",http://www.acelrx.com
Janelle D'Alvise,Acasti Pharma Inc.,"Acasti Pharma Inc is engaged in the research, development, and commercialization of prescription drugs using omega-3 fatty acids derived from krill oil.",NASDAQ Capital Market,Biotechnology,cs,Healthcare,ACST,"['Healthcare', 'Biotechnology']",http://www.acastipharma.com
,Acacia Research Corporation,"Acacia Research Corporation is an intermediary in the patent marketplace, facilitating efficiency and delivering monetary rewards to patent owners.",Nasdaq Global Select,Business Services,cs,Industrials,ACTG,"['Industrials', 'Business Services']",http://www.acaciaresearch.com
Walter C. Johnsen,Acme United Corporation.,"Acme United Corp is a supplier of cutting, measuring, first aid and sharpening products to the school, home, office, hardware, sporting goods and industrial markets.",NYSE American,Consumer Packaged Goods,cs,Consumer Defensive,ACU,"['Consumer Defensive', 'Household & Personal Products', 'Consumer Packaged Goods']",http://www.acmeunited.com
Thomas J. Fuccillo,AllianzGI Diversified Income & Convertible Fund of Beneficial Interest,"AllianzGI Diversified Income & Convertible Fund is a diversified, closed-end management investment company. The Fund's investment objective is to provide total return through a combination of current income and capital appreciation.",New York Stock Exchange,Asset Management,cs,Financial Services,ACV,"['Financial Services', 'Asset Management']",http://us.allianzgi.com
,AeroCentury Corp.,AeroCentury Corp is an aircraft operating lessor and finance company which specializes in leasing regional turboprop and jet aircraft and engines to regional air carriers.,NYSE American,Consulting & Outsourcing,cs,Industrials,ACY,"['Industrials', 'Rental & Leasing Services', 'Consulting & Outsourcing']",http://www.aerocentury.com
James J. Noble,Adaptimmune Therapeutics plc,Adaptimmune Therapeutics PLC along with its subsidiaries is a clinical-stage biopharmaceutical company. It is engaged in novel cancer immunotherapy products based on its T-cell receptor platform.,Nasdaq Global Select,Biotechnology,cs,Healthcare,ADAP,"['Healthcare', 'Biotechnology']",http://www.adaptimmune.com
Shantanu Narayen,Adobe Inc.,"Adobe Systems Inc offers a line of software and services for content creation and the measurement of digital advertising and marketing. Its software applications includes Photoshop and Lightroom, Adobe Analytics, Media Optimizer and Campaign Manager.",Nasdaq Global Select,Application Software,cs,Technology,ADBE,"['Technology', 'Software - Application', 'Application Software']",http://www.adobe.com
Joel N. Agree,Agree Realty Corporation,Agree Realty Corporation is engaged in real estate activities primarily in the United States. It manages retail properties for the purpose of generating shareholders income on a consistent basis.,New York Stock Exchange,REITs,cs,Real Estate,ADC,"['Real Estate', 'REIT - Retail', 'REITs']",http://www.agreerealty.com
L. Heath Sampson,Advanced Emissions Solutions Inc.,Advanced Emissions Solutions Inc is engaged in providing environmental technologies and specialty chemicals to the coal-burning utility industry.,NASDAQ Global Market,Industrial Products,cs,Industrials,ADES,"['Industrials', 'Pollution & Treatment Controls', 'Industrial Products']",http://www.advancedemissionssolutions.com
Vincent T. Roche,Analog Devices Inc.,"Analog Devices Inc is engaged in the semiconductor industry. Its business involves designing, manufacturing and marketing of high-performance analog, mixed-signal and digital signal processing integrated circuits used in all types of electronic equipment.",Nasdaq Global Select,Semiconductors,cs,Technology,ADI,"['Technology', 'Semiconductors']",http://www.analog.com
William B. Stilley,Adial Pharmaceuticals Inc,Adial Pharmaceuticals Inc is a United States-based pharmaceutical company. The company develops prescription medications for addiction and related disorders.,NASDAQ Capital Market,Biotechnology,cs,Healthcare,ADIL,"['Healthcare', 'Biotechnology']",http://www.adialpharma.com
Juan R. Luciano,Archer-Daniels-Midland Company,"Archer-Daniels Midland Co is a major processor of oilseeds, corn, wheat, and other agricultural commodities. The company's end products include vegetable oil and meal, corn sweeteners, flour, feed ingredients, and ethanol.",New York Stock Exchange,Consumer Packaged Goods,cs,Consumer Defensive,ADM,"['Consumer Defensive', 'Farm Products', 'Consumer Packaged Goods']",http://www.adm.com
Adam S. Grossman,ADMA Biologics Inc,ADMA Biologics Inc is a biopharmaceutical company. The company develops and manufactures specialty plasma-based biologics for the proposed treatment of immune deficiencies and prevention of certain infectious diseases.,NASDAQ Capital Market,Biotechnology,cs,Healthcare,ADMA,"['Healthcare', 'Biotechnology']",http://www.admabiologics.com
Dennis J. Carlo,Adamis Pharmaceuticals Corporation,"Adamis Pharmaceuticals Corp is a specialty biopharmaceutical company that develops & commercializes products in the therapeutic areas of respiratory disease & allergy. Its products include Epinephrine Injection PFS syringe, APC-1000, APC-2000, & APC-5000.",NASDAQ Capital Market,Drug Manufacturers,cs,Healthcare,ADMP,"['Healthcare', 'Drug Manufacturers - Specialty & Generic', 'Drug Manufacturers']",http://www.adamispharmaceuticals.com
Gregory T. Went,Adamas Pharmaceuticals Inc.,Adamas Pharmaceuticals Inc is a pharmaceutical company focused on the development and commercialization of therapeutics targeting chronic disorders of the central nervous systems. The company has developed and got approved the drug GOCOVRI.,NASDAQ Global Market,Drug Manufacturers,cs,Healthcare,ADMS,"['Healthcare', 'Drug Manufacturers - Specialty & Generic', 'Drug Manufacturers']",http://www.adamaspharma.com
Douglas G. Delgrosso,Adient plc,"Adient PLC is engaged in supplying automotive seating. It designs, manufactures and markets seating systems and components for passenger cars, commercial vehicles and light trucks, including vans, pick-up trucks and sport/crossover utility vehicles.",New York Stock Exchange,Autos,cs,Consumer Cyclical,ADNT,"['Consumer Cyclical', 'Auto Parts', 'Autos']",http://www.adient.com
James L. Reynolds,ADOMANI Inc.,ADOMANI Inc provides complete zero-emission electric and hybrid vehicle solutions to school bus and medium to heavy-duty fleet operators.,NASDAQ Capital Market,Autos,cs,Consumer Cyclical,ADOM,"['Consumer Cyclical', 'Auto Parts', 'Autos']",http://www.adomanielectric.com
Carlos A. Rodriguez,Automatic Data Processing Inc.,"Automatic Data Processing Inc is a provider of miscellaneous business solutions. Its business includes provision of technology-based outsourcing solutions to employers, vehicle retailers and manufacturers.",Nasdaq Global Select,Business Services,cs,Industrials,ADP,"['Industrials', 'Business Services']",http://www.adp.com
Stephen T. Isaacs,Aduro Biotech Inc.,"Aduro Biotech Inc is a clinical-stage biotechnology company focused on the discovery, development and commercialization of therapies that transform the treatment of different diseases.",Nasdaq Global Select,Biotechnology,cs,Healthcare,ADRO,"['Healthcare', 'Biotechnology']",http://www.aduro.com
Edward J. Heffernan,Alliance Data Systems Corporation,"Alliance Data Systems Corp provides marketing, loyalty, and credit solutions in the United States, Canada, and other countries. The business activity of the group is functioned through LoyaltyOne, Epsilon, and Card service segment.",New York Stock Exchange,Credit Services,cs,Financial Services,ADS,"['Financial Services', 'Credit Services']",http://www.alliancedata.com
Andrew Anagnost,Autodesk Inc.,Autodesk Inc is engaged in the software industry. It develops software for a number of markets such as construction and media.,Nasdaq Global Select,Application Software,cs,Technology,ADSK,"['Technology', 'Software - Application', 'Application Software']",http://www.autodesk.com
Richard Burke,Advanced Disposal Services Inc.,"Advanced Disposal Services Inc provides ideas and solutions to the business of a clean environment. It offers non-hazardous solid waste collection, transfer, recycling and disposal services to the commercial, industrial and residential customers.",New York Stock Exchange,Waste Management,cs,Industrials,ADSW,"['Industrials', 'Waste Management']",http://www.advanceddisposal.com
James D. DeVries,ADT Inc.,"ADT Inc provides monitored security, interactive home and business automation and related monitoring services.",New York Stock Exchange,Consulting & Outsourcing,cs,Industrials,ADT,"['Industrials', 'Security & Protection Services', 'Consulting & Outsourcing']",http://www.adt.com
Thomas R. Stanton,ADTRAN Inc.,"Adtran Inc is engaged in providing networking and communications equipment. Its products enable voice, data, video and Internet communications across a variety of network infrastructures.",Nasdaq Global Select,Communication Equipment,cs,Technology,ADTN,"['Technology', 'Communication Equipment']",http://www.adtran.com
R. Dirk Allison,Addus HomeCare Corporation,"Addus HomeCare Corp provides home and community based services, which are social in nature and are provided in the home, focused on the dual eligible population.",Nasdaq Global Select,Health Care Providers,cs,Healthcare,ADUS,"['Healthcare', 'Medical Care', 'Health Care Providers']",http://www.addus.com
Leone Patterson,Adverum Biotechnologies Inc.,Adverum Biotechnologies Inc is a gene therapy company committed to discovering and developing novel medicines that can offer potentially life-changing therapeutic benefit to patients living with rare diseases or diseases of the eye.,NASDAQ Global Market,Biotechnology,cs,Healthcare,ADVM,"['Healthcare', 'Biotechnology']",http://www.adverum.com
